,Aldaya(ES),Andros(FR),Bailleul(FR),Benesov(CZ),Bierun(PL),Eurodesserts(BE),Ferrières(FR),Issenheim(FR),Krasny(PL),LeMolay(FR),Mlc(FR),Ochsenfurt(ALL),Parets(ES),Rosenheim(ALL),Rotselaar(BE),Roumanie(RO),StJust(FR),Villecomtal(FR),Wevelgem(BE),0024 FR AIX (DC),0024 FR CHAPONNAY (DC),0024 FR LILPARK (DC),0024 FR METZ (DC),0024 FR PARIS NORD (DC),0024 FR PARIS SUD (DC),0024 FR TOULOUSE (DC),0024 FR TOURS (DC),0024 FR VALLET (DC),ACTIMEL,ACTIVIA,ALPRO,COTTAGE,DANACOL,DANETTE,DANIO,DANONE,DANONE YOGHURT,DANONINO,FJORD,GERVAIS,GERVITA,JOCKEY,LES 2 VACHES,LIGHT & FREE,OIKOS,TAILLEFINE,VELOUTE,Unnamed: 0,FLAG_CF,TRANSFORMABLE,INNO,IMPLUSE,Import_type,PREVISION_NATIONAL,COMMANDE_NATIONAL,ALLOUE_NATIONAL,LIVRE_NATIONAL,ECART_ALLOC_NATIONAL,RUPTURE_NATIONAL,RUPTURE_STKA_NATIONAL,NO_FORECAST_NAT,ECART_PREVISION_NAT,ECART_PREVISION_NAT_PERCENT,PREVISION,COMMANDE,ALLOUE,LIVRE,ECART_ALLOC,RUPTURE,RUPTURE_STKA,NO_FORECAST,ECART_PREVISON,ECART_PREVISION_PERCENT,CSL_ALLOC,CSL,PERTE_CSL_vs_ALLOC,CSL_ALLOC_NATIONAL,CSL_NATIONAL,PERTE_CSL_vs_ALLOC_NATIONAL,Cause_Pareto
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1298.0,812.0,812.0,646.0,166.0,166.0,0.0,0.0,-486.0,37.442218798151,135.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,-59.0,43.7037037037037,100.0,100.0,0.0,100.0,79.55665024630541,20.44334975369459,A Creuser
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1298.0,812.0,812.0,646.0,166.0,166.0,0.0,0.0,-486.0,37.442218798151,20.0,113.0,113.0,113.0,0.0,0.0,0.0,0.0,93.0,-465.0,100.0,100.0,0.0,100.0,79.55665024630541,20.44334975369459,A Creuser
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,1298.0,812.0,812.0,646.0,166.0,166.0,0.0,0.0,-486.0,37.442218798151,412.0,65.0,65.0,65.0,0.0,0.0,0.0,0.0,-347.0,84.22330097087378,100.0,100.0,0.0,100.0,79.55665024630541,20.44334975369459,A Creuser
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1298.0,812.0,812.0,646.0,166.0,166.0,0.0,0.0,-486.0,37.442218798151,182.0,114.0,114.0,114.0,0.0,0.0,0.0,0.0,-68.0,37.362637362637365,100.0,100.0,0.0,100.0,79.55665024630541,20.44334975369459,A Creuser
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1298.0,812.0,812.0,646.0,166.0,166.0,0.0,0.0,-486.0,37.442218798151,98.0,71.0,71.0,71.0,0.0,0.0,0.0,0.0,-27.0,27.55102040816327,100.0,100.0,0.0,100.0,79.55665024630541,20.44334975369459,A Creuser
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,1298.0,812.0,812.0,646.0,166.0,166.0,0.0,0.0,-486.0,37.442218798151,291.0,166.0,166.0,0.0,166.0,166.0,0.0,0.0,-125.0,42.95532646048109,100.0,0.0,100.0,100.0,79.55665024630541,20.44334975369459,A Creuser
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,1298.0,812.0,812.0,646.0,166.0,166.0,0.0,0.0,-486.0,37.442218798151,9.0,121.0,121.0,121.0,0.0,0.0,0.0,0.0,112.0,-1244.4444444444443,100.0,100.0,0.0,100.0,79.55665024630541,20.44334975369459,A Creuser
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,1298.0,812.0,812.0,646.0,166.0,166.0,0.0,0.0,-486.0,37.442218798151,151.0,86.0,86.0,86.0,0.0,0.0,0.0,0.0,-65.0,43.04635761589404,100.0,100.0,0.0,100.0,79.55665024630541,20.44334975369459,A Creuser
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,1.0,790.0,605.0,583.0,373.0,210.0,232.0,22.0,0.0,-185.0,23.417721518987346,90.0,66.0,66.0,55.0,11.0,11.0,0.0,0.0,-24.0,26.66666666666667,100.0,83.33333333333334,16.666666666666654,96.36363636363636,61.65289256198348,34.71074380165288,A Creuser
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,1.0,790.0,605.0,583.0,373.0,210.0,232.0,22.0,0.0,-185.0,23.417721518987346,116.0,115.0,115.0,115.0,0.0,0.0,0.0,0.0,-1.0,0.8620689655172413,100.0,100.0,0.0,96.36363636363636,61.65289256198348,34.71074380165288,A Creuser
